시도,합계,월,시군구
경기도,835859,201802,의왕
경기도,2818391,201802,의정부
경기도,379691,201802,이천
경기도,1672737,201802,파주
경기도,1404155,201802,평택
경기도,376807,201802,포천
경기도,1082193,201802,하남
경기도,2095570,201802,화성
강원특별자치도,122420,201802,강릉
강원특별자치도,30200,201802,고성
강원특별자치도,205501,201802,동해
강원특별자치도,21013,201802,삼척
강원특별자치도,126871,201802,속초
강원특별자치도,9122,201802,양구
강원특별자치도,22821,201802,양양
강원특별자치도,8099,201802,영월
강원특별자치도,644377,201802,원주
강원특별자치도,10971,201802,인제
강원특별자치도,5492,201802,정선
강원특별자치도,20043,201802,철원
강원특별자치도,546538,201802,춘천
강원특별자치도,36900,201802,태백
강원특별자치도,3654,201802,평창
강원특별자치도,31749,201802,홍천
강원특별자치도,13590,201802,화천
강원특별자치도,26306,201802,횡성
충청북도,24767,201802,괴산
충청북도,22771,201802,단양
충청북도,31089,201802,보은
충청북도,47497,201802,옥천
충청북도,1926,201802,음성
충청북도,136725,201802,제천
충청북도,82904,201802,증평
충청북도,73805,201802,진천
충청북도,1986406,201802,청주
충청북도,9380,201802,충주
충청남도,59351,201802,계룡
충청남도,148957,201802,공주
충청남도,33751,201802,금산
충청남도,125447,201802,논산
충청남도,173323,201802,당진
충청남도,4,201802,보령
충청남도,52284,201802,부여
충청남도,158153,201802,서산
충청남도,30786,201802,서천
충청남도,571263,201802,아산
충청남도,77133,201802,예산
충청남도,1900813,201802,천안
충청남도,12347,201802,청양
충청남도,34151,201802,태안
충청남도,69420,201802,홍성
전라북도,28,201802,고창
전라북도,266106,201802,군산
전라북도,49400,201802,김제
전라북도,49240,201802,남원
전라북도,387,201802,무주
전라북도,22152,201802,부안
전라북도,2515,201802,순창
전라북도,132922,201802,완주
전라북도,431609,201802,익산
전라북도,21501,201802,임실
전라북도,167,201802,장수
전라북도,1389017,201802,전주
전라북도,74971,201802,정읍
전라북도,30650,201802,진안
전라남도,2121,201802,강진
전라남도,17013,201802,고흥
전라남도,2840,201802,곡성
전라남도,121423,201802,광양
전라남도,5546,201802,구례
전라남도,358018,201802,나주
전라남도,82383,201802,담양
전라남도,364593,201802,목포
전라남도,64526,201802,무안
전라남도,24315,201802,보성
전라남도,571360,201802,순천
전라남도,4565,201802,신안
전라남도,634822,201802,여수
전라남도,8720,201802,영광
전라남도,26173,201802,영암
전라남도,5021,201802,완도
전라남도,38939,201802,장성
전라남도,32,201802,장흥
전라남도,34724,201802,함평
전라남도,8664,201802,해남
전라남도,212097,201802,화순
경상북도,941275,201802,경산
경상북도,397448,201802,경주
경상북도,30194,201802,고령
경상북도,599169,201802,구미
경상북도,19,201802,군위
경상북도,170302,201802,김천
경상북도,34317,201802,문경
경상북도,4446,201802,봉화
경상북도,26607,201802,상주
경상북도,16236,201802,성주
경상북도,254400,201802,안동
경상북도,2,201802,영덕
경상북도,65774,201802,영주
경상북도,124562,201802,영천
경상북도,21738,201802,예천
경상북도,4565,201802,울릉
경상북도,16240,201802,울진
경상북도,10993,201802,의성
경상북도,11684,201802,청도
경상북도,123,201802,청송
경상북도,61179,201802,칠곡
경상북도,805281,201802,포항
경상남도,345990,201802,거제
경상남도,1482,201802,고성
경상남도,1525368,201802,김해
경상남도,1441,201802,남해
경상남도,57889,201802,밀양
경상남도,43492,201802,사천
경상남도,141,201802,산청
경상남도,1435799,201802,양산
경상남도,1743,201802,의령
경상남도,906526,201802,진주
경상남도,306,201802,창녕
경상남도,2979869,201802,창원
경상남도,341177,201802,통영
경상남도,748,201802,하동
경상남도,42580,201802,함안
경상남도,288,201802,합천
제주특별자치도,422209,201802,서귀포
제주특별자치도,1380097,201802,제주
광주광역시,6141398,201803,광주광역시
대구광역시,14170768,201803,대구광역시
대전광역시,7294584,201803,대전광역시
부산광역시,30077323,201803,부산광역시
서울특별시,124624969,201803,서울특별시
세종특별자치시,648687,201803,세종특별자치시
울산광역시,3966935,201803,울산광역시
인천광역시,21807253,201803,인천광역시
경기도,182052,201803,가평
경기도,7601147,201803,고양
경기도,594376,201803,과천
경기도,2998750,201803,광명
경기도,1808450,201803,광주
경기도,1482050,201803,구리
경기도,2518403,201803,군포
경기도,1855872,201803,김포
경기도,3877834,201803,남양주
경기도,541938,201803,동두천
경기도,7378796,201803,부천
경기도,9332855,201803,성남
경기도,8455982,201803,수원
경기도,2035827,201803,시흥
경기도,4066207,201803,안산
경기도,491165,201803,안성
경기도,5597854,201803,안양
경기도,1219531,201803,양주
경기도,283120,201803,양평
경기도,221508,201803,여주
경기도,88643,201803,연천
경기도,1044613,201803,오산
