시도,시군구,월,PM25,PM10,SO2,O3,NO2,CO,평균기온(℃),평균최고기온(℃),최고기온(℃),평균최저기온(℃),최저기온(℃),강수량(mm),일최다강수량(mm),평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),최대순간풍속(m/s),최대순간풍속풍향(deg),일조합(hr),일조율(%),평균습도(%rh),최저습도(%rh)
충청북도,제천,202011,41.50943396,39.79591837,16.23036649,23.72881356,38.63636364,50,33.70165746,37.68115942,41.66666667,30.37974684,32.35908142,1.414397298,1.824034335,13.63636364,17.6,79.41176471,19.56521739,79.41176471,53.03850782,67.18086612,60.9375,18.96551724
충청북도,제천,202012,50.94339623,44.89795918,16.23036649,22.03389831,47.72727273,70,8.011049724,10.43478261,10.41666667,7.848101266,6.680584551,1.171627612,2.709227468,13.63636364,12.8,79.41176471,14.40217391,67.64705882,56.7087846,74.82309652,57.8125,32.75862069
충청북도,제천,202101,39.62264151,43.87755102,16.23036649,27.11864407,40.90909091,60,6.077348066,7.536231884,17.26190476,4.303797468,5.845511482,1.921047076,1.636266094,18.18181818,19.6,73.52941176,32.60869565,88.23529412,54.96389892,69.40277385,54.6875,29.31034483
충청북도,제천,202102,47.16981132,44.89795918,16.23036649,40.6779661,36.36363636,50,20.71823204,24.05797101,41.66666667,16.96202532,22.75574113,1.287734853,2.253218884,25,17.2,73.52941176,21.4673913,79.41176471,57.61131167,74.9646193,45.3125,13.79310345
충청북도,제천,202103,47.16981132,61.2244898,10.9947644,45.76271186,34.09090909,40,37.56906077,42.02898551,46.13095238,32.40506329,39.24843424,10.56575892,16.22854077,20.45454545,14.8,73.52941176,19.02173913,67.64705882,59.1456077,59.96320408,56.25,18.96551724
충청북도,제천,202104,32.0754717,41.83673469,5.759162304,61.01694915,27.27272727,30,51.38121547,56.23188406,63.0952381,44.05063291,46.13778706,10.97741186,13.73390558,22.72727273,14.4,61.76470588,15.48913043,61.76470588,60.83032491,57.31672799,42.1875,22.4137931
충청북도,제천,202105,37.73584906,56.12244898,5.759162304,49.15254237,25,40,59.94475138,63.47826087,69.3452381,54.6835443,51.98329854,16.65611146,14.96781116,15.90909091,13.6,61.76470588,22.82608696,52.94117647,53.39951865,41.7633739,67.1875,32.75862069
충청북도,제천,202106,33.96226415,33.67346939,5.759162304,54.23728814,20.45454545,40,76.79558011,79.71014493,74.10714286,72.65822785,69.72860125,8.613046232,6.330472103,13.63636364,10,8.823529412,10.05434783,14.70588235,54.39229844,42.68327201,70.3125,46.55172414
충청북도,제천,202107,20.75471698,22.44897959,5.759162304,33.89830508,18.18181818,40,88.12154696,91.88405797,81.8452381,84.55696203,86.0125261,23.54865949,16.44313305,9.090909091,7.6,14.70588235,8.695652174,14.70588235,61.01083032,48.64138126,78.125,58.62068966
충청북도,제천,202108,20.75471698,22.44897959,5.759162304,33.89830508,20.45454545,40,82.59668508,82.89855072,80.35714286,81.51898734,81.83716075,18.4610513,7.510729614,9.090909091,7.6,67.64705882,8.695652174,67.64705882,33.24308063,21.89357487,82.8125,74.13793103
충청북도,제천,202109,16.98113208,18.36734694,5.759162304,32.20338983,20.45454545,40,72.9281768,74.49275362,65.17857143,69.87341772,72.86012526,22.08148617,17.08690987,11.36363636,8.8,14.70588235,10.05434783,88.23529412,45.36702768,42.27285593,79.6875,65.51724138
충청북도,제천,202110,32.0754717,29.59183673,5.759162304,22.03389831,27.27272727,40,52.76243094,57.97101449,64.58333333,50.63291139,44.25887265,2.807684188,2.548283262,9.090909091,6.8,79.41176471,12.5,79.41176471,50.57160048,53.43900368,79.6875,53.44827586
충청북도,제천,202111,50.94339623,46.93877551,5.759162304,27.11864407,36.36363636,50,32.87292818,37.39130435,38.69047619,30.63291139,34.23799582,5.066497783,6.410944206,18.18181818,20.8,67.64705882,26.63043478,67.64705882,47.5631769,58.68949901,70.3125,36.20689655
충청북도,제천,202112,43.39622642,38.7755102,10.9947644,20.33898305,36.36363636,50,14.36464088,15.07246377,13.39285714,13.67088608,14.61377871,0.686088242,1.019313305,20.45454545,21.2,73.52941176,28.80434783,73.52941176,53.24909747,69.36031701,59.375,32.75862069
충청북도,제천,202201,54.71698113,44.89795918,10.9947644,22.03389831,45.45454545,60,6.077348066,8.405797101,7.142857143,3.291139241,14.19624217,0.316656111,0.268240343,13.63636364,14.8,67.64705882,15.76086957,73.52941176,62.15403129,80.42739881,53.125,34.48275862
충청북도,제천,202202,45.28301887,43.87755102,10.9947644,42.37288136,34.09090909,50,9.668508287,11.88405797,10.71428571,6.329113924,16.07515658,0.717753853,0.965665236,29.54545455,15.2,61.76470588,18.75,73.52941176,64.38026474,85.49391452,37.5,18.96551724
충청북도,제천,202203,41.50943396,48.97959184,5.759162304,44.06779661,31.81818182,40,33.42541436,36.8115942,38.39285714,28.86075949,31.52400835,9.320244881,7.001072961,20.45454545,16.8,73.52941176,19.83695652,67.64705882,51.14320096,49.87262949,57.8125,17.24137931
충청북도,제천,202204,33.96226415,42.85714286,5.759162304,64.40677966,25,30,52.20994475,60.28985507,60.41666667,42.27848101,42.58872651,4.274857505,3.406652361,25,14,14.70588235,11.41304348,8.823529412,72.83393502,71.70959524,42.1875,18.96551724
충청북도,제천,202205,32.0754717,37.75510204,5.759162304,72.88135593,22.72727273,30,64.08839779,72.17391304,71.13095238,53.67088608,51.77453027,0.791640279,1.341201717,22.72727273,12,67.64705882,16.57608696,94.11764706,85.10830325,75.7571469,42.1875,22.4137931
충청북도,제천,202206,24.52830189,26.53061224,5.759162304,52.54237288,18.18181818,30,77.62430939,80.57971014,82.73809524,73.16455696,67.22338205,28.91070298,23.47103004,18.18181818,8,8.823529412,13.31521739,67.64705882,44.0433213,31.63034249,68.75,27.5862069
충청북도,제천,202207,22.64150943,23.46938776,5.759162304,37.28813559,15.90909091,30,87.56906077,88.11594203,80.6547619,85.56962025,88.5177453,32.81612835,30.12339056,13.63636364,6.4,8.823529412,4.619565217,67.64705882,46.32972323,33.21539768,84.375,67.24137931
충청북도,제천,202208,20.75471698,19.3877551,5.759162304,32.20338983,15.90909091,30,83.42541436,81.15942029,76.19047619,83.29113924,71.60751566,51.22440363,25.83154506,11.36363636,4.4,14.70588235,5.434782609,61.76470588,28.70036101,16.7987546,90.625,55.17241379
충청북도,제천,202209,20.75471698,22.44897959,5.759162304,25.42372881,25,40,70.99447514,76.8115942,73.51190476,66.58227848,62.00417537,9.890225881,15.55793991,13.63636364,12.8,8.823529412,16.30434783,8.823529412,49.33814681,47.24030569,76.5625,50
